cidade,uf,ano,secao,item,custo_rs_ha,custo_rs_60kg,participacao_pct,produtividade_kg_ha,participacao_ct_pct
Assis Chateaubriand,PR,2022,II - OUTRAS DESPESAS,20 - Assistência Técnica,41.24,0.4124,0.82,6000.0,0.61
Assis Chateaubriand,PR,2022,II - OUTRAS DESPESAS,21 - Classificação,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2022,II - OUTRAS DESPESAS,22 - Outros,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2022,II - OUTRAS DESPESAS,23 - CESSR,137.32,1.3732,2.74,6000.0,2.04
Assis Chateaubriand,PR,2022,II - OUTRAS DESPESAS,TOTAL DAS OUTRAS DESPESAS (B),778.49,7.7849,15.53,6000.0,11.57
Assis Chateaubriand,PR,2022,III - DESPESAS FINANCEIRAS,24 - Juros do Financiamento,109.54,1.0954,2.19,6000.0,1.63
Assis Chateaubriand,PR,2022,III - DESPESAS FINANCEIRAS,TOTAL DAS DESPESAS FINANCEIRAS (C),109.54,1.0954,2.19,6000.0,1.63
Assis Chateaubriand,PR,2022,III - DESPESAS FINANCEIRAS,CUSTO VARIÁVEL (A+B+C=D),5012.17,50.1217,100.0,6000.0,74.51
Assis Chateaubriand,PR,2022,IV - DEPRECIAÇÕES,25 - Depreciação de benfeitorias/instalações,17.15,0.1715,0.34,6000.0,0.25
Assis Chateaubriand,PR,2022,IV - DEPRECIAÇÕES,26 - Depreciação de implementos,245.86,2.4586,4.91,6000.0,3.65
Assis Chateaubriand,PR,2022,IV - DEPRECIAÇÕES,27 - Depreciação de Máquinas,31.51,0.31515,0.63,6000.0,0.47
Assis Chateaubriand,PR,2022,IV - DEPRECIAÇÕES,TOTAL DE DEPRECIAÇÕES (E),294.52,2.94525,5.88,6000.0,4.37
Assis Chateaubriand,PR,2022,V - OUTROS CUSTOS FIXOS,28 - Manutenção Periódica Benfeitorias/Instalações,219.57,2.19565,4.38,6000.0,3.26
Assis Chateaubriand,PR,2022,V - OUTROS CUSTOS FIXOS,29 - Encargos Sociais,38.68,0.38679,0.77,6000.0,0.58
Assis Chateaubriand,PR,2022,V - OUTROS CUSTOS FIXOS,30 - Seguro do capital fixo,15.36,0.15364,0.31,6000.0,0.23
Assis Chateaubriand,PR,2022,V - OUTROS CUSTOS FIXOS,31 - Arrendamento,34.33,0.34331,0.68,6000.0,0.51
