municipio,ano,data_semeadura,produtividade_prevista_kg_ha
Missal,2004,25/02/,2033.191760859433
Missal,2004,05/03/,2003.9760117468973
Missal,2004,15/03/,1914.791181897731
Missal,2004,25/03/,2362.507146093227
Missal,2005,05/02/,1905.732368839196
Missal,2005,15/02/,1860.9930561914089
Missal,2005,25/02/,1985.1876812307016
Missal,2005,05/03/,1764.118486710681
Missal,2005,15/03/,2296.7677948898454
Missal,2005,25/03/,2698.0314647543382
Missal,2006,05/02/,3200.6800543501117
Missal,2006,15/02/,3237.056337524017
Missal,2006,25/02/,3295.337332971605
Missal,2006,05/03/,3251.345044379461
Missal,2006,15/03/,3335.9778812347145
Missal,2006,25/03/,3405.6984004990404
Missal,2007,05/02/,2901.2297594000447
Missal,2007,15/02/,2864.3738411190648
Missal,2007,25/02/,2943.4844820528497
Missal,2007,05/03/,2925.8654091975163
Missal,2007,15/03/,2867.4843358572643
Missal,2007,25/03/,2901.4357722600676
Missal,2008,05/02/,3339.0623613433536
Missal,2008,15/02/,3337.5163361555237
Missal,2008,25/02/,2771.9272560325967
Missal,2008,05/03/,3315.426482283662
Missal,2008,15/03/,3055.2371609304864
Missal,2008,25/03/,3334.3103168284965
Missal,2009,05/02/,1355.116164690496
Missal,2009,15/02/,1395.956217050703
Missal,2009,25/02/,1869.0852945885022
Missal,2009,05/03/,1374.2712597673733
Missal,2009,15/03/,1442.6612256236954
Missal,2009,25/03/,1369.643515493365
Missal,2010,05/02/,3510.8316593918294
Missal,2010,15/02/,3518.516646824516
Missal,2010,25/02/,3503.2234137181126
Missal,2010,05/03/,3490.4610905132886
Missal,2010,15/03/,3525.361713669964
Missal,2010,25/03/,3526.5591416075654
Missal,2011,05/02/,3333.069697656807
Missal,2011,15/02/,3293.5172250193928
Missal,2011,25/02/,3296.367357132638
Missal,2011,05/03/,3314.397928470551
Missal,2011,15/03/,3332.269398316878
Missal,2011,25/03/,3412.829446217581
Missal,2012,05/02/,1740.843650867944
Missal,2012,15/02/,1733.162345690254
Missal,2012,25/02/,1490.9604492199753
Missal,2012,05/03/,1401.8270573744855
Missal,2012,15/03/,1484.3939941805074
Missal,2012,25/03/,1445.3644042801482
Missal,2013,05/02/,2984.115255059031
Missal,2013,15/02/,3000.8737352518883
Missal,2013,25/02/,2994.6138961762194
Missal,2013,05/03/,3416.6642522380935
Missal,2013,15/03/,2895.9097789336424
Missal,2013,25/03/,3279.9716812510346
Missal,2014,05/02/,3000.460578826194
Missal,2014,15/02/,3027.3586706133656
Missal,2014,25/02/,3024.748732887331
Missal,2014,05/03/,3096.392471228239
Missal,2014,15/03/,3035.5688492473378
Missal,2014,25/03/,3031.5102307290363
Missal,2015,05/02/,3016.4400306696666
Missal,2015,15/02/,3012.011488768343
Missal,2015,25/02/,3034.4375784705812
Missal,2015,05/03/,3047.0764526702383
Missal,2015,15/03/,3053.2256190130242
Missal,2015,25/03/,2975.0903032118235
Missal,2016,05/02/,3219.2164162817844
Missal,2016,15/02/,3330.3754765273716
Missal,2016,25/02/,3333.9230765683633
Missal,2016,05/03/,3311.568656017345
Missal,2016,15/03/,3308.519920673286
Missal,2016,25/03/,3309.408015111908
Missal,2017,05/02/,3297.098982282024
Missal,2017,15/02/,3287.977299462745
Missal,2017,25/02/,3306.0359996320344
Missal,2017,05/03/,3463.1690988715245
Missal,2017,15/03/,3267.062219472897
Missal,2017,25/03/,3364.6346040366534
Missal,2018,05/02/,3353.7771526237293
