municipio,data_semeadura,n_anos,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico
São Miguel do Iguaçu,05/02/,26,7.7,-964.890660643139,Menos viável
São Miguel do Iguaçu,05/03/,26,7.7,-897.0723904136631,Viabilidade intermediária
São Miguel do Iguaçu,15/02/,26,7.7,-926.4149445120463,Menos viável
São Miguel do Iguaçu,15/03/,26,7.7,-936.0399108621187,Menos viável
São Miguel do Iguaçu,25/02/,26,7.7,-906.9329586239166,Viabilidade intermediária
São Miguel do Iguaçu,25/03/,26,7.7,-909.9327254789459,Viabilidade intermediária
São Pedro do Iguaçu,05/02/,26,3.8,-895.3819194935534,Viabilidade intermediária
São Pedro do Iguaçu,05/03/,26,7.7,-853.9052605687848,Mais viável
São Pedro do Iguaçu,15/02/,26,7.7,-890.4047469285196,Viabilidade intermediária
São Pedro do Iguaçu,15/03/,26,7.7,-873.6788332240753,Mais viável
São Pedro do Iguaçu,25/02/,26,7.7,-864.2891025955086,Mais viável
São Pedro do Iguaçu,25/03/,26,3.8,-882.3471710699715,Viabilidade intermediária
Terra Roxa,05/02/,26,7.7,-944.4431493236724,Menos viável
Terra Roxa,05/03/,26,7.7,-932.8863183610465,Menos viável
Terra Roxa,15/02/,26,3.8,-953.7884369502414,Menos viável
Terra Roxa,15/03/,26,3.8,-950.9162532007316,Menos viável
Terra Roxa,25/02/,26,7.7,-928.9176398350353,Menos viável
Terra Roxa,25/03/,26,7.7,-924.9964520841175,Menos viável
Toledo,05/02/,26,7.7,-903.3369495075641,Viabilidade intermediária
Toledo,05/03/,26,7.7,-891.2916088845358,Viabilidade intermediária
Toledo,15/02/,26,3.8,-930.472856157349,Menos viável
Toledo,15/03/,26,7.7,-912.8951464482153,Menos viável
Toledo,25/02/,26,7.7,-896.000085028913,Viabilidade intermediária
Toledo,25/03/,26,7.7,-905.1614783357699,Viabilidade intermediária
Três Barras do Paraná,05/02/,26,3.8,-871.346753222258,Mais viável
Três Barras do Paraná,05/03/,26,3.8,-839.199999463884,Mais viável
Três Barras do Paraná,15/02/,26,3.8,-837.608227924087,Mais viável
Três Barras do Paraná,15/03/,26,3.8,-846.6613816861566,Mais viável
Três Barras do Paraná,25/02/,26,3.8,-834.4535377461694,Mais viável
Três Barras do Paraná,25/03/,26,3.8,-848.3453535187562,Mais viável
Tupãssi,05/02/,26,7.7,-903.9934501541328,Viabilidade intermediária
Tupãssi,05/03/,26,7.7,-892.9503989681187,Viabilidade intermediária
Tupãssi,15/02/,26,3.8,-931.8955720610122,Menos viável
Tupãssi,15/03/,26,7.7,-913.0333033004572,Menos viável
Tupãssi,25/02/,26,7.7,-897.5935043522867,Viabilidade intermediária
Tupãssi,25/03/,26,7.7,-904.3743382119818,Viabilidade intermediária
Vera Cruz do Oeste,05/02/,26,3.8,-894.1433524701133,Viabilidade intermediária
Vera Cruz do Oeste,05/03/,26,7.7,-853.9363160996205,Mais viável
Vera Cruz do Oeste,15/02/,26,7.7,-890.2557437567792,Viabilidade intermediária
Vera Cruz do Oeste,15/03/,26,7.7,-871.6585979615415,Mais viável
Vera Cruz do Oeste,25/02/,26,7.7,-861.9875014927477,Mais viável
Vera Cruz do Oeste,25/03/,26,3.8,-876.8426267308294,Viabilidade intermediária
