Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
2024,02/05,12.706.099.480.318.300,Matelândia,30.0,0.45,0.9,12,6
2024,03/05,11.979.388.020.872.900,Matelândia,30.0,0.45,0.9,12,6
2015,01/05,13.286.530.584.766.900,Medianeira,30.0,0.45,0.9,12,6
2015,02/05,1.313.263.678.961.890,Medianeira,30.0,0.45,0.9,12,6
2015,03/05,12.384.384.165.320.300,Medianeira,30.0,0.45,0.9,12,6
2016,01/05,12.851.649.741.281.000,Medianeira,30.0,0.45,0.9,12,6
2016,02/05,11.719.751.126.193.100,Medianeira,30.0,0.45,0.9,12,6
2016,03/05,10.257.214.242.645.300,Medianeira,30.0,0.45,0.9,12,6
2017,01/05,13.224.478.541.040.100,Medianeira,30.0,0.45,0.9,12,6
2017,02/05,12.863.220.497.620.600,Medianeira,30.0,0.45,0.9,12,6
2017,03/05,12.108.224.838.122.600,Medianeira,30.0,0.45,0.9,12,6
2018,01/05,13.408.021.608.283.000,Medianeira,30.0,0.45,0.9,12,6
2018,02/05,12.679.057.747.060.100,Medianeira,30.0,0.45,0.9,12,6
2018,03/05,11.579.341.051.017.800,Medianeira,30.0,0.45,0.9,12,6
2019,01/05,13.404.960.370.655.200,Medianeira,30.0,0.45,0.9,12,6
2019,02/05,13.193.658.832.517.700,Medianeira,30.0,0.45,0.9,12,6
2019,03/05,12.638.252.800.762.600,Medianeira,30.0,0.45,0.9,12,6
2020,01/05,1.340.295.544.202.880,Medianeira,30.0,0.45,0.9,12,6
2020,02/05,12.389.310.565.955.800,Medianeira,30.0,0.45,0.9,12,6
2020,03/05,11.456.061.111.202.600,Medianeira,30.0,0.45,0.9,12,6
2021,01/05,12.702.478.718.973.700,Medianeira,30.0,0.45,0.9,12,6
2021,02/05,13.221.633.432.600.500,Medianeira,30.0,0.45,0.9,12,6
2021,03/05,12.194.054.336.717.800,Medianeira,30.0,0.45,0.9,12,6
2022,01/05,13.317.649.163.558.300,Medianeira,30.0,0.45,0.9,12,6
