municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico
Foz do Iguaçu,25/02/,0.6503721144387202,0.09864350413490282,27,0.5555555555555556,0.4444444444444444,0.25925925925925924,0.8888888888888888,0.0,0.3333333333333333,Inapto (risco > 40%)
Foz do Iguaçu,25/03/,0.6964514592986083,0.11674913787934192,27,0.7037037037037037,0.6296296296296297,0.1111111111111111,1.0,0.1111111111111111,0.4074074074074074,Inapto (risco > 40%)
Guaraniaçu,05/02/,0.7802500226320619,0.10199504468415771,27,0.3333333333333333,0.14814814814814814,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%
Guaraniaçu,05/03/,0.7541153824807146,0.09756245137467455,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.6296296296296297,Risco climático 40%
Guaraniaçu,15/02/,0.7691029003139184,0.09153555440510003,27,0.2962962962962963,0.037037037037037035,0.25925925925925924,0.8518518518518519,0.0,0.37037037037037035,Risco climático 30%
Guaraniaçu,15/03/,0.7626763156889017,0.09856535946479897,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.037037037037037035,0.6296296296296297,Risco climático 40%
Guaraniaçu,25/02/,0.7492046239453259,0.09667243472937084,27,0.25925925925925924,0.14814814814814814,0.14814814814814814,0.9629629629629629,0.0,0.48148148148148145,Risco climático 30%
Guaraniaçu,25/03/,0.757137063845996,0.11444677632418601,27,0.4074074074074074,0.3333333333333333,0.1111111111111111,1.0,0.14814814814814814,0.5925925925925926,Inapto (risco > 40%)
Guaíra,05/02/,0.6842628881325848,0.12910235300311504,27,0.5185185185185185,0.18518518518518517,0.4074074074074074,0.2962962962962963,0.0,0.14814814814814814,Inapto (risco > 40%)
Guaíra,05/03/,0.6670434774651709,0.1326764118577854,27,0.5185185185185185,0.4444444444444444,0.25925925925925924,0.9629629629629629,0.0,0.37037037037037035,Inapto (risco > 40%)
Guaíra,15/02/,0.6794023554896452,0.11997526859570565,27,0.3333333333333333,0.07407407407407407,0.3333333333333333,0.6296296296296297,0.0,0.18518518518518517,Risco climático 40%
Guaíra,15/03/,0.6703048887647804,0.13063613128614118,27,0.6296296296296297,0.5555555555555556,0.18518518518518517,1.0,0.0,0.2962962962962963,Inapto (risco > 40%)
Guaíra,25/02/,0.6636133264725662,0.13000257760997902,27,0.4444444444444444,0.25925925925925924,0.25925925925925924,0.8148148148148148,0.0,0.37037037037037035,Inapto (risco > 40%)
Guaíra,25/03/,0.675307746797194,0.13332639618920994,27,0.6666666666666666,0.6296296296296297,0.14814814814814814,1.0,0.0,0.3333333333333333,Inapto (risco > 40%)
Ibema,05/02/,0.7748101236789068,0.10176819785612573,27,0.3333333333333333,0.14814814814814814,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%
Ibema,05/03/,0.7511250351360975,0.0968123332523061,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.6296296296296297,Risco climático 40%
Ibema,15/02/,0.763993496390163,0.0913544095708773,27,0.2962962962962963,0.037037037037037035,0.25925925925925924,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%
Ibema,15/03/,0.7588328656519933,0.098193934891794,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.037037037037037035,0.5925925925925926,Risco climático 40%
