,Unnamed: 0,Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
199,199,2024,03/25,11.819264846607800,Toledo,30.0,0.45,0.9,12,7
200,200,2015,03/25,11.043792167284500,Cascavel,30.0,0.45,0.9,13,6
201,201,2016,03/25,6.035510186245170,Cascavel,30.0,0.45,0.9,13,6
202,202,2017,03/25,10.394904084727100,Cascavel,30.0,0.45,0.9,13,6
203,203,2018,03/25,10.085511645216200,Cascavel,30.0,0.45,0.9,13,6
204,204,2019,03/25,11.099595274656100,Cascavel,30.0,0.45,0.9,13,6
205,205,2020,03/25,1.021590921322710,Cascavel,30.0,0.45,0.9,13,6
206,206,2021,03/25,10.296740193618300,Cascavel,30.0,0.45,0.9,13,6
207,207,2022,03/25,9.608961772003840,Cascavel,30.0,0.45,0.9,13,6
208,208,2023,03/25,10.859614882404100,Cascavel,30.0,0.45,0.9,13,6
209,209,2024,03/25,1.114165933877990,Cascavel,30.0,0.45,0.9,13,6
210,210,2015,03/25,11.924693055374100,Foz do Iguaçu,30.0,0.45,0.9,13,6
211,211,2016,03/25,9.457243789433190,Foz do Iguaçu,30.0,0.45,0.9,13,6
212,212,2017,03/25,11.556126708365600,Foz do Iguaçu,30.0,0.45,0.9,13,6
213,213,2018,03/25,1.099605100849260,Foz do Iguaçu,30.0,0.45,0.9,13,6
214,214,2019,03/25,11.842706691702300,Foz do Iguaçu,30.0,0.45,0.9,13,6
215,215,2020,03/25,10.806428161141400,Foz do Iguaçu,30.0,0.45,0.9,13,6
216,216,2021,03/25,1.131190380940770,Foz do Iguaçu,30.0,0.45,0.9,13,6
217,217,2022,03/25,10.539180848864600,Foz do Iguaçu,30.0,0.45,0.9,13,6
218,218,2023,03/25,12.094790117358700,Foz do Iguaçu,30.0,0.45,0.9,13,6
219,219,2024,03/25,108.493645991122,Foz do Iguaçu,30.0,0.45,0.9,13,6
220,220,2015,03/25,12.326045307853300,Guaíra,30.0,0.45,0.9,13,6
221,221,2016,03/25,100.935775033756,Guaíra,30.0,0.45,0.9,13,6
222,222,2017,03/25,1.177090042148780,Guaíra,30.0,0.45,0.9,13,6
223,223,2018,03/25,11.726274383503500,Guaíra,30.0,0.45,0.9,13,6
224,224,2019,03/25,12.282973875340900,Guaíra,30.0,0.45,0.9,13,6
225,225,2020,03/25,11.978358543012300,Guaíra,30.0,0.45,0.9,13,6
226,226,2021,03/25,1.153566792170560,Guaíra,30.0,0.45,0.9,13,6
227,227,2022,03/25,11.127674379012500,Guaíra,30.0,0.45,0.9,13,6
228,228,2023,03/25,12.182452337923000,Guaíra,30.0,0.45,0.9,13,6
229,229,2024,03/25,12.275563953753600,Guaíra,30.0,0.45,0.9,13,6
230,230,2015,03/25,123.358395422145,Marechal Cândido Rondon,30.0,0.45,0.9,13,6
231,231,2016,03/25,1.017386211437150,Marechal Cândido Rondon,30.0,0.45,0.9,13,6
232,232,2017,03/25,11.872845444389600,Marechal Cândido Rondon,30.0,0.45,0.9,13,6
233,233,2018,03/25,11.776904838977100,Marechal Cândido Rondon,30.0,0.45,0.9,13,6
234,234,2019,03/25,12.280370935145900,Marechal Cândido Rondon,30.0,0.45,0.9,13,6
235,235,2020,03/25,11.870362814919500,Marechal Cândido Rondon,30.0,0.45,0.9,13,6
236,236,2021,03/25,11.783984504584900,Marechal Cândido Rondon,30.0,0.45,0.9,13,6
237,237,2022,03/25,11.165448059322500,Marechal Cândido Rondon,30.0,0.45,0.9,13,6
238,238,2023,03/25,12.312654401543800,Marechal Cândido Rondon,30.0,0.45,0.9,13,6
239,239,2024,03/25,1.197642692869620,Marechal Cândido Rondon,30.0,0.45,0.9,13,6
240,240,2015,03/25,1.142739763313440,Matelândia,30.0,0.45,0.9,13,6
241,241,2016,03/25,6.856680392996810,Matelândia,30.0,0.45,0.9,13,6
242,242,2017,03/25,11.100514387912200,Matelândia,30.0,0.45,0.9,13,6
243,243,2018,03/25,10.445850641801700,Matelândia,30.0,0.45,0.9,13,6
244,244,2019,03/25,11.462496430523500,Matelândia,30.0,0.45,0.9,13,6
245,245,2020,03/25,10.455093124924700,Matelândia,30.0,0.45,0.9,13,6
246,246,2021,03/25,10.986990085708600,Matelândia,30.0,0.45,0.9,13,6
247,247,2022,03/25,10.075722127390900,Matelândia,30.0,0.45,0.9,13,6
248,248,2023,03/25,11.631023188109200,Matelândia,30.0,0.45,0.9,13,6
249,249,2024,03/25,10.858348644403400,Matelândia,30.0,0.45,0.9,13,6
250,250,2015,03/25,11.924693055374100,Medianeira,30.0,0.45,0.9,13,6
251,251,2016,03/25,9.456865663232830,Medianeira,30.0,0.45,0.9,13,6
252,252,2017,03/25,11.556090931681600,Medianeira,30.0,0.45,0.9,13,6
253,253,2018,03/25,10.995781313552600,Medianeira,30.0,0.45,0.9,13,6
254,254,2019,03/25,1.184267232522310,Medianeira,30.0,0.45,0.9,13,6
255,255,2020,03/25,10.806174061505300,Medianeira,30.0,0.45,0.9,13,6
256,256,2021,03/25,1.131110092356690,Medianeira,30.0,0.45,0.9,13,6
257,257,2022,03/25,10.539180848864600,Medianeira,30.0,0.45,0.9,13,6
258,258,2023,03/25,12.094423808074000,Medianeira,30.0,0.45,0.9,13,6
259,259,2024,03/25,10.849260583202200,Medianeira,30.0,0.45,0.9,13,6
260,260,2015,03/25,1.229807856957910,Santa Helena,30.0,0.45,0.9,13,6
261,261,2016,03/25,10.138385498582900,Santa Helena,30.0,0.45,0.9,13,6
262,262,2017,03/25,118.642274020336,Santa Helena,30.0,0.45,0.9,13,6
263,263,2018,03/25,1.153581280684690,Santa Helena,30.0,0.45,0.9,13,6
264,264,2019,03/25,12.135653310542200,Santa Helena,30.0,0.45,0.9,13,6
265,265,2020,03/25,11.571115356177200,Santa Helena,30.0,0.45,0.9,13,6
266,266,2021,03/25,1.165949327506620,Santa Helena,30.0,0.45,0.9,13,6
267,267,2022,03/25,11.130264580049600,Santa Helena,30.0,0.45,0.9,13,6
268,268,2023,03/25,12.363857428973800,Santa Helena,30.0,0.45,0.9,13,6
269,269,2024,03/25,11.506033510658300,Santa Helena,30.0,0.45,0.9,13,6
270,270,2015,03/25,11.924693055374100,São Miguel do Iguaçu,30.0,0.45,0.9,13,6
271,271,2016,03/25,9.457171560642620,São Miguel do Iguaçu,30.0,0.45,0.9,13,6
272,272,2017,03/25,11.556114571526300,São Miguel do Iguaçu,30.0,0.45,0.9,13,6
273,273,2018,03/25,10.996005087739600,São Miguel do Iguaçu,30.0,0.45,0.9,13,6
274,274,2019,03/25,11.842703607032400,São Miguel do Iguaçu,30.0,0.45,0.9,13,6
275,275,2020,03/25,10.806390078504100,São Miguel do Iguaçu,30.0,0.45,0.9,13,6
276,276,2021,03/25,1.131179783224060,São Miguel do Iguaçu,30.0,0.45,0.9,13,6
277,277,2022,03/25,10.539180848864600,São Miguel do Iguaçu,30.0,0.45,0.9,13,6
278,278,2023,03/25,12.094762245340900,São Miguel do Iguaçu,30.0,0.45,0.9,13,6
279,279,2024,03/25,10.849339773123000,São Miguel do Iguaçu,30.0,0.45,0.9,13,6
280,280,2015,03/25,1.110459381602900,São Pedro do Iguaçu,30.0,0.45,0.9,13,6
281,281,2016,03/25,56.062070706927900,São Pedro do Iguaçu,30.0,0.45,0.9,13,6
282,282,2017,03/25,1.071015485936360,São Pedro do Iguaçu,30.0,0.45,0.9,13,6
283,283,2018,03/25,10.383384018724100,São Pedro do Iguaçu,30.0,0.45,0.9,13,6
284,284,2019,03/25,11.251673910929700,São Pedro do Iguaçu,30.0,0.45,0.9,13,6
285,285,2020,03/25,10.376410714169500,São Pedro do Iguaçu,30.0,0.45,0.9,13,6
286,286,2021,03/25,10.746960061970200,São Pedro do Iguaçu,30.0,0.45,0.9,13,6
287,287,2022,03/25,9.722657636932750,São Pedro do Iguaçu,30.0,0.45,0.9,13,6
288,288,2023,03/25,11.401722923227400,São Pedro do Iguaçu,30.0,0.45,0.9,13,6
289,289,2024,03/25,10.910457058515700,São Pedro do Iguaçu,30.0,0.45,0.9,13,6
290,290,2015,03/25,11.695619969952500,Toledo,30.0,0.45,0.9,13,6
291,291,2016,03/25,8.144278808944180,Toledo,30.0,0.45,0.9,13,6
292,292,2017,03/25,11.138593889158200,Toledo,30.0,0.45,0.9,13,6
293,293,2018,03/25,11.192994195391800,Toledo,30.0,0.45,0.9,13,6
294,294,2019,03/25,11.765422839367500,Toledo,30.0,0.45,0.9,13,6
295,295,2020,03/25,11.354961154818200,Toledo,30.0,0.45,0.9,13,6
296,296,2021,03/25,11.200808393339600,Toledo,30.0,0.45,0.9,13,6
297,297,2022,03/25,10.305825986329800,Toledo,30.0,0.45,0.9,13,6
298,298,2023,03/25,11.814807740830900,Toledo,30.0,0.45,0.9,13,6
299,299,2024,03/25,11.819264846607800,Toledo,30.0,0.45,0.9,13,6
300,300,2015,03/25,11.043792167284500,Cascavel,30.0,0.45,0.9,13,7
301,301,2016,03/25,6.035510186245170,Cascavel,30.0,0.45,0.9,13,7
302,302,2017,03/25,10.394904084727100,Cascavel,30.0,0.45,0.9,13,7
303,303,2018,03/25,10.085511645216200,Cascavel,30.0,0.45,0.9,13,7
