municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico,produtividade_media_kg_ha,produtividade_desvio_kg_ha,classe_produtividade,pct_anos_cobre_custo,margem_media_rs_ha_100pct,risco_economico,margem_media_rs_ha_rateio50,margem_media_rs_ha_rateio_proporcional,score_clima,score_produtividade,score_economico,score_integrado,componente_agroclimatico,topsis_score,classe_risco_topsis,topsis_score_rateio50,topsis_score_rateio_proporcional
Campo Bonito,15/03/,0.7562647320319797,0.1006027511238373,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.037037037037037,0.5555555555555556,Risco climático 40%,3363.9242069906427,352.1488914744235,Alta produtividade prevista,7.7,-839.9349150546507,Mais viável,61.162190306579184,228.03202463273288,2,0,0,2,1.8501982451343402,0.8496072755799395,Baixo risco integrado,0.8722926968321755,0.8521474710020299
Campo Bonito,25/02/,0.7425153588489667,0.0976013787639225,27,0.2962962962962963,0.1481481481481481,0.1851851851851851,0.9629629629629628,0.0,0.4444444444444444,Risco climático 30%,3387.481627007036,373.46340072511623,Alta produtividade prevista,7.7,-829.4191709659111,Mais viável,71.6779343953193,238.547768721473,1,0,0,1,1.661502322278936,0.814622895392564,Baixo risco integrado,0.8674359018755597,0.8204677378298837
Campo Bonito,25/03/,0.7495703859038966,0.1158908910245871,27,0.4074074074074074,0.3333333333333333,0.1111111111111111,1.0,0.1481481481481481,0.5555555555555556,Inapto (risco > 40%),3345.352691654908,338.89440799012374,Alta produtividade prevista,7.7,-845.9738009522196,Mais viável,55.12330440901064,221.99313873516445,3,0,0,3,1.6273588357554198,0.8081457060020033,Baixo risco integrado,0.8343464655415277,0.8111080573885633
Capitão Leônidas Marques,05/02/,0.7376015574398944,0.1148236618513721,27,0.2962962962962963,0.2222222222222222,0.1481481481481481,0.5185185185185185,0.0,0.4074074074074074,Risco climático 30%,3143.842146541071,648.80518203233,Produtividade prevista intermediária,7.7,-909.4693668828533,Viabilidade intermediária,-8.372261521622791,158.4975728045309,1,1,1,3,0.4952025392217222,0.5970445782191256,Risco integrado intermediário,0.551202289095046,0.5915103483171593
Capitão Leônidas Marques,05/03/,0.7446292840523315,0.0885818427538142,27,0.3333333333333333,0.2592592592592592,0.1111111111111111,1.0,0.0,0.5555555555555556,Risco climático 40%,3233.240391391845,583.7417607749983,Produtividade prevista intermediária,3.8,-861.0902860777325,Mais viável,40.00681928349744,206.8766536096512,2,1,0,3,1.0338804250124725,0.6977342890413947,Baixo risco integrado,0.7355681511749449,0.7020874823423607
Capitão Leônidas Marques,15/02/,0.737455018213125,0.094127253314512,27,0.2962962962962963,0.1111111111111111,0.2222222222222222,0.8148148148148148,0.0,0.4074074074074074,Risco climático 30%,3215.8362876411343,636.7319741325757,Produtividade prevista intermediária,7.7,-877.1882594745911,Viabilidade intermediária,23.90884588663894,190.77868021279272,1,1,1,3,0.8059592862935597,0.655202437452477,Baixo risco integrado,0.6708829787143489,0.657036682796514
Capitão Leônidas Marques,15/03/,0.757396610128263,0.0912038283209195,27,0.4814814814814814,0.3703703703703703,0.1111111111111111,1.0,0.037037037037037,0.4814814814814814,Inapto (risco > 40%),3217.1446877987396,557.7882219692509,Produtividade prevista intermediária,7.7,-879.1902298206353,Viabilidade intermediária,21.90687554059477,188.77670986674852,3,1,1,5,1.2342932056610438,0.734704213381288,Baixo risco integrado,0.7056704057856659,0.7311628300555749
Capitão Leônidas Marques,25/02/,0.7328525414600455,0.0929130870927183,27,0.2592592592592592,0.2222222222222222,0.1111111111111111,0.9629629629629628,0.0,0.5185185185185185,Risco climático 30%,3274.123132711393,495.59645297472827,Alta produtividade prevista,7.7,-851.1678208107592,Mais viável,49.929284550471,216.7991188766248,1,0,0,1,0.9625219150405698,0.6845883437948659,Baixo risco integrado,0.7505204104075802,0.6921623106977418
Capitão Leônidas Marques,25/03/,0.7584358204781867,0.1077519170572786,27,0.5185185185185185,0.4814814814814814,0.074074074074074,1.0,0.1851851851851851,0.5925925925925926,Inapto (risco > 40%),3232.0013596684475,592.9740747047522,Produtividade prevista intermediária,7.7,-866.1951510769347,Mais viável,34.901954284295435,201.7717886104491,3,1,0,4,1.3210860693433455,0.7510104461435719,Baixo risco integrado,0.7509265817285538,0.7510005501440065
Cascavel,05/02/,0.7693786822379942,0.1016173243603964,27,0.3333333333333333,0.1481481481481481,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%,3365.0667568560148,355.5049088701428,Alta produtividade prevista,3.8,-851.5678447569699,Mais viável,49.5292606042605,216.3990949304142,2,0,0,2,2.1331082772532968,0.901947345057203,Baixo risco integrado,0.8656281024049511,0.8970290068407772
