cidade,uf,ano,secao,item,custo_rs_ha,custo_rs_60kg,participacao_pct,produtividade_kg_ha,participacao_ct_pct,categoria_total,categoria_item,fator_deflator,custo_rs_ha_real,custo_rs_60kg_real
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,7 - Administrador,73.16,0.73,2.92,6000.0,2.12,,Administração,1.356761632067946,99.26068100209093,0.9904359914096006
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,8 - Sementes e mudas,705.19,7.05,28.15,6000.0,20.46,,Sementes,1.356761632067946,956.774735317995,9.56516950607902
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,9 - Fertilizantes,636.6,6.37,25.41,6000.0,18.47,,Fertilizantes,1.356761632067946,863.7144549744545,8.642571596272816
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,10 - Agrotóxicos,414.45,4.14,16.54,6000.0,12.03,,Defensivos/Agrotóxicos,1.356761632067946,562.3098584105602,5.616993156761296
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,11 - Receita,0.0,0.0,0.0,6000.0,0.0,,,1.356761632067946,0.0,0.0
Assis Chateaubriand,PR,2020,12 - Outros:,12.1 - Embalagens/Utensílios,0.0,0.0,0.0,6000.0,0.0,,,1.356761632067946,0.0,0.0
Assis Chateaubriand,PR,2020,12 - Outros:,12.2 - Análise de Solo,0.0,0.0,0.0,6000.0,0.0,,,1.356761632067946,0.0,0.0
Assis Chateaubriand,PR,2020,12 - Outros:,12.3 - Demais Despesas,0.0,0.0,0.0,6000.0,0.0,,,1.356761632067946,0.0,0.0
Assis Chateaubriand,PR,2020,12 - Outros:,13 - Serviços Diversos,0.0,0.0,0.0,6000.0,0.0,,,1.356761632067946,0.0,0.0
Assis Chateaubriand,PR,2020,12 - Outros:,TOTAL DAS DESPESAS DE CUSTEIO (A),2095.15,20.95,83.63,6000.0,60.79,Total Despesas de Custeio (A),,1.356761632067946,2842.6191334271575,28.42415619182347
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,14 - Transporte Externo,111.0,1.11,4.43,6000.0,3.22,,Transporte,1.356761632067946,150.60054115954202,1.5060054115954202
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,15 - Despesas Administrativas,62.85,0.63,2.51,6000.0,1.82,,Administração,1.356761632067946,85.27246857547041,0.854759828202806
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,16 - Despesas de armazenagem,0.0,0.0,0.0,6000.0,0.0,,,1.356761632067946,0.0,0.0
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,17 - Beneficiamento,0.0,0.0,0.0,6000.0,0.0,,,1.356761632067946,0.0,0.0
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,18 - Seguro da Produção,104.76,1.05,4.18,6000.0,3.04,,Seguro,1.356761632067946,142.13434857543803,1.4245997136713435
