Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
2015,01/05,13.286890639494500,Foz do Iguaçu,30.0,0.45,0.9,12,7
2015,02/05,13.132701996160300,Foz do Iguaçu,30.0,0.45,0.9,12,7
2015,03/05,1.238502088979380,Foz do Iguaçu,30.0,0.45,0.9,12,7
2016,01/05,1.285251081647130,Foz do Iguaçu,30.0,0.45,0.9,12,7
2016,02/05,1.172006330836920,Foz do Iguaçu,30.0,0.45,0.9,12,7
2016,03/05,10.257616692538100,Foz do Iguaçu,30.0,0.45,0.9,12,7
2017,01/05,13.225575058478600,Foz do Iguaçu,30.0,0.45,0.9,12,7
2017,02/05,1.286343795485750,Foz do Iguaçu,30.0,0.45,0.9,12,7
2017,03/05,12.108274123819800,Foz do Iguaçu,30.0,0.45,0.9,12,7
2018,01/05,13.408339415675500,Foz do Iguaçu,30.0,0.45,0.9,12,7
2018,02/05,12.679026022253700,Foz do Iguaçu,30.0,0.45,0.9,12,7
2018,03/05,11.579186119467300,Foz do Iguaçu,30.0,0.45,0.9,12,7
2019,01/05,13.405525845897200,Foz do Iguaçu,30.0,0.45,0.9,12,7
2019,02/05,13.193625221930000,Foz do Iguaçu,30.0,0.45,0.9,12,7
2019,03/05,12.638346394526700,Foz do Iguaçu,30.0,0.45,0.9,12,7
2020,01/05,13.402238670184100,Foz do Iguaçu,30.0,0.45,0.9,12,7
2020,02/05,123.898023026737,Foz do Iguaçu,30.0,0.45,0.9,12,7
2020,03/05,11.456457846781300,Foz do Iguaçu,30.0,0.45,0.9,12,7
2021,01/05,12.740482786856500,Foz do Iguaçu,30.0,0.45,0.9,12,7
