,Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
152,2017,02/25,12.24422694983982,Medianeira,30.0,0.45,0.9,0.012,0.007
153,2018,02/25,11.762624329846195,Medianeira,30.0,0.45,0.9,0.012,0.007
154,2019,02/25,13.013282009153176,Medianeira,30.0,0.45,0.9,0.012,0.007
155,2020,02/25,11.879047533313662,Medianeira,30.0,0.45,0.9,0.012,0.007
156,2021,02/25,12.633360286912055,Medianeira,30.0,0.45,0.9,0.012,0.007
157,2022,02/25,11.117184124236788,Medianeira,30.0,0.45,0.9,0.012,0.007
158,2023,02/25,12.635084215423596,Medianeira,30.0,0.45,0.9,0.012,0.007
159,2024,02/25,12.456241585103967,Medianeira,30.0,0.45,0.9,0.012,0.007
160,2015,02/25,12.827719812780149,Santa Helena,30.0,0.45,0.9,0.012,0.007
161,2016,02/25,11.02717880934755,Santa Helena,30.0,0.45,0.9,0.012,0.007
162,2017,02/25,12.527386502223436,Santa Helena,30.0,0.45,0.9,0.012,0.007
163,2018,02/25,12.261702995327136,Santa Helena,30.0,0.45,0.9,0.012,0.007
164,2019,02/25,13.144660015896994,Santa Helena,30.0,0.45,0.9,0.012,0.007
165,2020,02/25,12.388239212301144,Santa Helena,30.0,0.45,0.9,0.012,0.007
166,2021,02/25,12.62887638045826,Santa Helena,30.0,0.45,0.9,0.012,0.007
167,2022,02/25,11.586886098763555,Santa Helena,30.0,0.45,0.9,0.012,0.007
168,2023,02/25,12.799694421112576,Santa Helena,30.0,0.45,0.9,0.012,0.007
169,2024,02/25,12.708696952260363,Santa Helena,30.0,0.45,0.9,0.012,0.007
170,2015,02/25,12.660408094998798,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.007
171,2016,02/25,10.516582949440823,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.007
172,2017,02/25,12.244324753238711,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.007
173,2018,02/25,11.762428126047448,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.007
174,2019,02/25,13.013386304274345,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.007
175,2020,02/25,11.87950876943157,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.007
176,2021,02/25,12.631065835112887,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.007
177,2022,02/25,11.11768001260816,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.007
178,2023,02/25,12.63544249220344,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.007
179,2024,02/25,12.456435379928926,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.007
180,2015,02/25,12.22760240733614,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.007
181,2016,02/25,9.622894163130589,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.007
182,2017,02/25,11.764810161901812,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.007
183,2018,02/25,11.387054543386284,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.007
184,2019,02/25,12.656174799305175,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.007
185,2020,02/25,11.518772637482114,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.007
186,2021,02/25,12.257318445894706,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.007
187,2022,02/25,10.438737573531665,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.007
188,2023,02/25,12.02451928557114,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.007
189,2024,02/25,12.352495126738468,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.007
190,2015,02/25,12.556143497311787,Toledo,30.0,0.45,0.9,0.012,0.007
191,2016,02/25,10.211909899458547,Toledo,30.0,0.45,0.9,0.012,0.007
192,2017,02/25,12.044871661600032,Toledo,30.0,0.45,0.9,0.012,0.007
193,2018,02/25,11.931237374320485,Toledo,30.0,0.45,0.9,0.012,0.007
194,2019,02/25,12.885786617678994,Toledo,30.0,0.45,0.9,0.012,0.007
195,2020,02/25,12.284113617982811,Toledo,30.0,0.45,0.9,0.012,0.007
196,2021,02/25,12.649222479517134,Toledo,30.0,0.45,0.9,0.012,0.007
197,2022,02/25,10.912865293735786,Toledo,30.0,0.45,0.9,0.012,0.007
198,2023,02/25,12.34964227513643,Toledo,30.0,0.45,0.9,0.012,0.007
199,2024,02/25,12.795568124760846,Toledo,30.0,0.45,0.9,0.012,0.007
200,2015,02/25,12.254446443161871,Cascavel,30.0,0.45,0.9,0.013,0.006
201,2016,02/25,9.366364643819434,Cascavel,30.0,0.45,0.9,0.013,0.006
202,2017,02/25,11.576679281864179,Cascavel,30.0,0.45,0.9,0.013,0.006
