municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico,produtividade_media_kg_ha,produtividade_desvio_kg_ha,classe_produtividade,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico,score_clima,score_produtividade,score_economico,score_integrado,componente_agroclimatico,topsis_score,classe_risco_topsis
Cascavel,25/02/,0.7400430828606211,0.0958472604838534,27,0.2592592592592592,0.1481481481481481,0.1481481481481481,0.9629629629629628,0.0,0.4444444444444444,Risco climático 30%,3405.620391161045,382.0450526056972,Alta produtividade prevista,50.0,104.05224098926276,Mais viável,1,0,0,1,1.6881833581152932,0.8623928210634422,Baixo risco integrado
Cascavel,25/03/,0.7488311875001863,0.114201501355666,27,0.4074074074074074,0.3703703703703703,0.074074074074074,1.0,0.1481481481481481,0.5555555555555556,Inapto (risco > 40%),3378.3279614564462,352.8897452392822,Alta produtividade prevista,50.0,93.08754859791652,Mais viável,3,0,0,3,1.7554502164305106,0.8607160681852083,Baixo risco integrado
Catanduvas,05/02/,0.7784912185788306,0.1016497517187727,27,0.3333333333333333,0.1481481481481481,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%,3400.938954915168,319.38239111372917,Alta produtividade prevista,50.0,90.94223597515904,Mais viável,2,0,0,2,2.482620603825662,0.9377667521016009,Baixo risco integrado
Catanduvas,05/03/,0.7542836333084773,0.0969021991687501,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.6296296296296297,Risco climático 40%,3395.4196595695853,384.9251612577065,Alta produtividade prevista,50.0,101.05320687329304,Mais viável,2,0,0,2,1.9455182071749282,0.8955110230454647,Baixo risco integrado
Catanduvas,15/02/,0.7678353843316913,0.0913229357238973,27,0.2962962962962963,0.037037037037037,0.2592592592592592,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,3427.0191184730406,377.48254075678585,Alta produtividade prevista,50.0,99.51844285153658,Mais viável,1,0,0,1,2.370485288114777,0.9503680055436213,Baixo risco integrado
Catanduvas,15/03/,0.7622109327481338,0.0981148310458775,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.037037037037037,0.5925925925925926,Risco climático 40%,3385.463696234385,353.140928708334,Alta produtividade prevista,50.0,96.62841686834804,Mais viável,2,0,0,2,2.070120964336578,0.9071221131147383,Baixo risco integrado
Catanduvas,25/02/,0.7486297998838322,0.0963385492468184,27,0.2592592592592592,0.1481481481481481,0.1481481481481481,0.9629629629629628,0.0,0.4814814814814814,Risco climático 30%,3414.119399583608,369.4934021367622,Alta produtividade prevista,50.0,106.97328058441684,Mais viável,1,0,0,1,1.9072168696996674,0.8935396094998976,Baixo risco integrado
Catanduvas,25/03/,0.7567560943570096,0.1141221678779873,27,0.4074074074074074,0.3333333333333333,0.1111111111111111,1.0,0.1481481481481481,0.5925925925925926,Inapto (risco > 40%),3367.5185790399564,344.2554323831227,Alta produtividade prevista,50.0,91.45885381909908,Mais viável,3,0,0,3,1.8762817393319173,0.8739065115607532,Baixo risco integrado
Corbélia,05/02/,0.7473366087974344,0.1167847648290243,27,0.4444444444444444,0.1481481481481481,0.3703703703703703,0.4074074074074074,0.0,0.2222222222222222,Inapto (risco > 40%),3261.8048139187354,408.92589702468274,Alta produtividade prevista,50.0,56.09776731515426,Mais viável,3,0,0,3,1.2157859741775776,0.7225837475569237,Baixo risco integrado
Corbélia,05/03/,0.7076953512032427,0.1116114609732139,27,0.3703703703703703,0.2222222222222222,0.1851851851851851,1.0,0.0,0.4444444444444444,Risco climático 40%,3249.4247725041705,470.3602152078763,Alta produtividade prevista,50.0,62.1258753226659,Mais viável,2,0,0,2,0.32168198637354173,0.6303336105184647,Risco integrado intermediário
Corbélia,15/02/,0.7336000929667233,0.1030815449990766,27,0.2962962962962963,0.074074074074074,0.2592592592592592,0.7407407407407407,0.0,0.2592592592592592,Risco climático 30%,3259.840685288991,405.0967296059113,Alta produtividade prevista,50.0,45.34025395950611,Viabilidade intermediária,1,0,1,2,0.9160999500555742,0.6645616251715534,Risco integrado intermediário
Corbélia,15/03/,0.7145295133901824,0.1082198363747604,27,0.4814814814814814,0.2962962962962963,0.2592592592592592,1.0,0.037037037037037,0.5185185185185185,Inapto (risco > 40%),3263.090646899645,395.72284993131075,Alta produtividade prevista,50.0,60.07903967538333,Mais viável,3,0,0,3,0.5260981606796477,0.6506246457972946,Risco integrado intermediário
Corbélia,25/02/,0.707974400308145,0.1087072479898137,27,0.3703703703703703,0.1111111111111111,0.2962962962962963,0.925925925925926,0.0,0.3703703703703703,Risco climático 40%,3258.373695237173,403.79817133337326,Alta produtividade prevista,50.0,58.71215727568448,Mais viável,2,0,0,2,0.36660930190622704,0.629088887916681,Risco integrado intermediário
Corbélia,25/03/,0.7068008541913229,0.1223578582632227,27,0.5555555555555556,0.4814814814814814,0.1481481481481481,1.0,0.1481481481481481,0.4814814814814814,Inapto (risco > 40%),3243.6035219792184,379.25228067914856,Alta produtividade prevista,50.0,52.08029737806597,Viabilidade intermediária,3,0,1,4,0.2773465037587419,0.6054047758894097,Risco integrado intermediário
Céu Azul,05/02/,0.7326195426621467,0.1189392537306219,27,0.3333333333333333,0.1851851851851851,0.2222222222222222,0.5185185185185185,0.0,0.3333333333333333,Risco climático 40%,3226.2392171500956,506.0895009819904,Produtividade prevista intermediária,50.0,42.53326051791351,Viabilidade intermediária,2,1,1,4,0.7488313232505924,0.639419682463943,Risco integrado intermediário
Céu Azul,05/03/,0.7313249466905272,0.09548349731933,27,0.3703703703703703,0.2962962962962963,0.1481481481481481,1.0,0.0,0.5185185185185185,Risco climático 40%,3286.372866430226,497.10906218588906,Alta produtividade prevista,50.0,79.21280477293924,Mais viável,2,0,0,2,0.983550394233632,0.7407961020080346,Baixo risco integrado
Céu Azul,15/02/,0.7321453356260016,0.097410978126033,27,0.2592592592592592,0.1111111111111111,0.1851851851851851,0.8518518518518519,0.0,0.3703703703703703,Risco climático 30%,3228.8573794916333,519.8831693282406,Produtividade prevista intermediária,50.0,45.26526933482091,Viabilidade intermediária,1,1,1,3,0.7501952923924994,0.6456863124163751,Risco integrado intermediário
Céu Azul,15/03/,0.7403247117966058,0.0983623772755646,27,0.5555555555555556,0.4444444444444444,0.1111111111111111,1.0,0.037037037037037,0.5185185185185185,Inapto (risco > 40%),3273.528482984355,470.8892732975179,Alta produtividade prevista,46.2,62.02274598475257,Mais viável,3,0,0,3,1.1182901054192862,0.7246082438655291,Baixo risco integrado
Céu Azul,25/02/,0.7236931136665788,0.098314623177204,27,0.2962962962962963,0.2222222222222222,0.1481481481481481,0.9629629629629628,0.0,0.4074074074074074,Risco climático 30%,3267.296940008811,464.2970234439204,Alta produtividade prevista,50.0,72.47302241814151,Mais viável,1,0,0,1,0.7386434543457805,0.6992004018759742,Baixo risco integrado
Céu Azul,25/03/,0.7413706820309821,0.1159364646913693,27,0.6296296296296297,0.5925925925925926,0.1111111111111111,1.0,0.1851851851851851,0.5555555555555556,Inapto (risco > 40%),3234.337909103004,456.9715716279871,Produtividade prevista intermediária,50.0,55.31271656307414,Viabilidade intermediária,3,1,1,5,0.9696042996340569,0.6929234875720716,Baixo risco integrado
