municipio,data_semeadura,isna_medio,isna_desvio,n_anos,risco_climatico,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico,score_clima,score_economico,score_combinado
Formosa do Oeste,25/02/,0.6963297178385169,0.10855989123057763,27,Baixo risco climático,3.8,-883.8907725101318,Viabilidade intermediária,0,1,1
Formosa do Oeste,25/03/,0.694511795744387,0.12193767618704747,27,Baixo risco climático,3.8,-890.5102691355722,Viabilidade intermediária,0,1,1
Foz do Iguaçu,05/02/,0.6456509609891825,0.13025781513247775,27,Médio risco climático,7.7,-961.7663471353718,Menos viável,1,2,3
Foz do Iguaçu,05/03/,0.6640004914891117,0.09758137924552612,27,Baixo risco climático,7.7,-864.4872985917625,Mais viável,0,0,0
Foz do Iguaçu,15/02/,0.6467748365856786,0.10722359011426738,27,Médio risco climático,7.7,-908.5801105819656,Viabilidade intermediária,1,1,2
Foz do Iguaçu,15/03/,0.689531941962335,0.09798066976315457,27,Baixo risco climático,7.7,-892.8468981078314,Viabilidade intermediária,0,1,1
Foz do Iguaçu,25/02/,0.6503721144387202,0.09864350413490282,27,Baixo risco climático,7.7,-863.4545231399862,Mais viável,0,0,0
Foz do Iguaçu,25/03/,0.6964514592986083,0.11674913787934194,27,Baixo risco climático,7.7,-887.7455673274434,Viabilidade intermediária,0,1,1
Guaraniaçu,05/02/,0.7802500226320619,0.10199504468415771,27,Baixo risco climático,3.8,-840.8353850057622,Mais viável,0,0,0
Guaraniaçu,05/03/,0.7541153824807146,0.09756245137467454,27,Baixo risco climático,3.8,-831.9850208061,Mais viável,0,0,0
Guaraniaçu,15/02/,0.7691029003139184,0.09153555440510004,27,Baixo risco climático,7.7,-830.5367662817191,Mais viável,0,0,0
Guaraniaçu,15/03/,0.7626763156889017,0.09856535946479898,27,Baixo risco climático,7.7,-835.5351252048409,Mais viável,0,0,0
Guaraniaçu,25/02/,0.7492046239453259,0.09667243472937082,27,Baixo risco climático,7.7,-825.7561079088932,Mais viável,0,0,0
Guaraniaçu,25/03/,0.757137063845996,0.114446776324186,27,Baixo risco climático,7.7,-840.357152085076,Mais viável,0,0,0
Guaíra,05/02/,0.6842628881325848,0.12910235300311504,27,Baixo risco climático,7.7,-942.5475899420964,Menos viável,0,2,2
Guaíra,05/03/,0.6670434774651709,0.13267641185778536,27,Baixo risco climático,7.7,-935.283549168229,Menos viável,0,2,2
Guaíra,15/02/,0.6794023554896452,0.11997526859570562,27,Baixo risco climático,3.8,-958.8914564633413,Menos viável,0,2,2
Guaíra,15/03/,0.6703048887647804,0.13063613128614118,27,Baixo risco climático,3.8,-954.987464736471,Menos viável,0,2,2
Guaíra,25/02/,0.6636133264725663,0.13000257760997905,27,Baixo risco climático,7.7,-935.6539561779387,Menos viável,0,2,2
Guaíra,25/03/,0.675307746797194,0.1333263961892099,27,Baixo risco climático,7.7,-925.0912255282439,Menos viável,0,2,2
Ibema,05/02/,0.7748101236789068,0.10176819785612568,27,Baixo risco climático,3.8,-843.805493999949,Mais viável,0,0,0
Ibema,05/03/,0.7511250351360975,0.09681233325230612,27,Baixo risco climático,3.8,-830.7919305162818,Mais viável,0,0,0
Ibema,15/02/,0.763993496390163,0.09135440957087727,27,Baixo risco climático,7.7,-833.6080408612142,Mais viável,0,0,0
Ibema,15/03/,0.7588328656519933,0.09819393489179397,27,Baixo risco climático,7.7,-833.0127233589993,Mais viável,0,0,0
Ibema,25/02/,0.7451315270622002,0.09624214902922817,27,Baixo risco climático,7.7,-823.2516955640423,Mais viável,0,0,0
Ibema,25/03/,0.7535101742285151,0.11421883119981703,27,Baixo risco climático,7.7,-837.3562957217407,Mais viável,0,0,0
Iguatu,05/02/,0.7520861418483235,0.11647762819256088,27,Baixo risco climático,3.8,-872.3551506310536,Mais viável,0,0,0
Iguatu,05/03/,0.712002644744147,0.11194678411796864,27,Baixo risco climático,7.7,-868.9837934909972,Mais viável,0,0,0
Iguatu,15/02/,0.7387714699308018,0.10309283763016215,27,Baixo risco climático,3.8,-882.4804610254533,Viabilidade intermediária,0,1,1
Iguatu,15/03/,0.7187056881964966,0.10891636267495008,27,Baixo risco climático,3.8,-871.8886458841899,Mais viável,0,0,0
Iguatu,25/02/,0.7127013588256754,0.10906796064874603,27,Baixo risco climático,3.8,-873.2553557816401,Mais viável,0,0,0
Iguatu,25/03/,0.7115496578421684,0.12258676668024125,27,Baixo risco climático,3.8,-880.6891113051523,Viabilidade intermediária,0,1,1
Iracema do Oeste,05/02/,0.7347737080776653,0.11741306350179932,27,Baixo risco climático,7.7,-883.7483250019887,Viabilidade intermediária,0,1,1
