municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico,produtividade_media_kg_ha,produtividade_desvio_kg_ha,classe_produtividade,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico,score_clima,score_produtividade,score_economico,score_integrado
Cascavel,15/03/,0.7538578906509842,0.0979898937658732,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.037037037037037,0.5925925925925926,Risco climático 40%,3384.8196955938747,375.9992859248544,Alta produtividade prevista,7.7,-834.3618775949066,Mais viável,2,0,0,2
Cascavel,25/02/,0.7400430828606211,0.0958472604838534,27,0.2592592592592592,0.1481481481481481,0.1481481481481481,0.9629629629629628,0.0,0.4444444444444444,Risco climático 30%,3405.620391161045,382.04505260569715,Alta produtividade prevista,7.7,-825.5399409420069,Mais viável,1,0,0,1
Cascavel,25/03/,0.7488311875001863,0.114201501355666,27,0.4074074074074074,0.3703703703703703,0.074074074074074,1.0,0.1481481481481481,0.5555555555555556,Inapto (risco > 40%),3378.3279614564462,352.8897452392822,Alta produtividade prevista,7.7,-836.5046333333531,Mais viável,3,0,0,3
Catanduvas,05/02/,0.7784912185788306,0.1016497517187727,27,0.3333333333333333,0.1481481481481481,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%,3400.938954915168,319.382391113729,Alta produtividade prevista,3.8,-838.6499459561107,Mais viável,2,0,0,2
Catanduvas,05/03/,0.7542836333084773,0.0969021991687501,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.6296296296296297,Risco climático 40%,3395.4196595695853,384.9251612577066,Alta produtividade prevista,3.8,-828.5389750579768,Mais viável,2,0,0,2
Catanduvas,15/02/,0.7678353843316913,0.0913229357238973,27,0.2962962962962963,0.037037037037037,0.2592592592592592,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,3427.0191184730406,377.48254075678597,Alta produtividade prevista,7.7,-830.0737390797332,Mais viável,1,0,0,1
Catanduvas,15/03/,0.7622109327481338,0.0981148310458775,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.037037037037037,0.5925925925925926,Risco climático 40%,3385.463696234385,353.1409287083339,Alta produtividade prevista,7.7,-832.9637650629218,Mais viável,2,0,0,2
Catanduvas,25/02/,0.7486297998838322,0.0963385492468184,27,0.2592592592592592,0.1481481481481481,0.1481481481481481,0.9629629629629628,0.0,0.4814814814814814,Risco climático 30%,3414.119399583608,369.493402136762,Alta produtividade prevista,7.7,-822.6189013468527,Mais viável,1,0,0,1
Catanduvas,25/03/,0.7567560943570096,0.1141221678779873,27,0.4074074074074074,0.3333333333333333,0.1111111111111111,1.0,0.1481481481481481,0.5925925925925926,Inapto (risco > 40%),3367.5185790399564,344.25543238312264,Alta produtividade prevista,7.7,-838.1333281121704,Mais viável,3,0,0,3
Corbélia,05/02/,0.7473366087974344,0.1167847648290243,27,0.4444444444444444,0.1481481481481481,0.3703703703703703,0.4074074074074074,0.0,0.2222222222222222,Inapto (risco > 40%),3261.8048139187354,408.92589702468274,Alta produtividade prevista,7.7,-873.4944146161153,Mais viável,3,0,0,3
Corbélia,05/03/,0.7076953512032427,0.1116114609732139,27,0.3703703703703703,0.2222222222222222,0.1851851851851851,1.0,0.0,0.4444444444444444,Risco climático 40%,3249.424772504171,470.36021520787665,Alta produtividade prevista,7.7,-867.4663066086038,Mais viável,2,0,0,2
Corbélia,15/02/,0.7336000929667233,0.1030815449990766,27,0.2962962962962963,0.074074074074074,0.2592592592592592,0.7407407407407407,0.0,0.2592592592592592,Risco climático 30%,3259.840685288991,405.09672960591155,Alta produtividade prevista,3.8,-884.2519279717633,Viabilidade intermediária,1,0,1,2
