municipio,data_semeadura,n_anos,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico
Três Barras do Paraná,25/03/,26,50.0,81.24682841251388,Mais viável
Tupãssi,05/02/,26,50.0,25.598731777137047,Viabilidade intermediária
Tupãssi,05/03/,26,50.0,36.64178296315067,Viabilidade intermediária
Tupãssi,15/02/,26,50.0,-2.303390129742577,Menos viável
Tupãssi,15/03/,26,46.2,16.558878630812178,Menos viável
Tupãssi,25/02/,26,50.0,31.998677578982804,Viabilidade intermediária
Tupãssi,25/03/,26,50.0,25.21784371928783,Viabilidade intermediária
Vera Cruz do Oeste,05/02/,26,50.0,35.44882946115633,Viabilidade intermediária
Vera Cruz do Oeste,05/03/,26,50.0,75.65586583164898,Mais viável
Vera Cruz do Oeste,15/02/,26,50.0,39.336438174490596,Viabilidade intermediária
Vera Cruz do Oeste,15/03/,26,46.2,57.93358396972822,Mais viável
Vera Cruz do Oeste,25/02/,26,50.0,67.60468043852217,Mais viável
Vera Cruz do Oeste,25/03/,26,50.0,52.74955520044026,Viabilidade intermediária
