Fase,Tmin,Tmax,Tmed,Chuva,UR,ETc,ETR,ARM,DEF,EXC,N,PP,Data semeadura,Data maturação,ISNA,PA,Municipio,Ano
3,20.37030303030303,31.423939393939396,25.897121212121213,38.42,59.71151515151515,158.2597320378671,37.243842359516485,3.830683139051081,121.01588967835063,0.0,11.361549622325612,3002.6953591998026,2009-02-15,2009-05-25,0.23533366245435752,774.280892868052,Mercedes,2009
4,17.258636363636363,26.976363636363637,22.1175,127.16000000000001,72.19772727272728,49.88883725968203,29.852799049149397,45.32,20.03603821053263,55.8178840899017,10.812700910055735,1527.162719898313,2009-02-15,2009-05-25,0.5983863463034671,712.0885371936215,Mercedes,2009
1,24.26529411764706,32.35470588235294,28.31,47.0,67.68235294117646,23.450770725741446,19.734274364311847,13.635839117332608,3.7164963614295976,20.176108740577764,12.38717478577157,2113.093436326318,2009-02-25,2009-06-04,0.8415192231891093,8447.767102140491,Mercedes,2009
2,23.0225,33.20928571428571,28.115892857142857,34.349999999999994,58.894285714285715,99.07987786615215,37.567448180587405,10.418390936745203,61.51242968556474,0.0,11.842249408790394,3009.020631640622,2009-02-25,2009-06-04,0.3791632467627543,580.7406524445146,Mercedes,2009
3,19.354848484848485,30.244848484848486,24.799848484848486,52.7,62.42121212121212,135.90521703203325,35.56968601600388,27.54870492074133,100.33553101602938,0.0,11.145452800806318,2794.84786464399,2009-02-25,2009-06-04,0.26172421333626944,366.3672714289735,Mercedes,2009
4,14.470454545454546,22.641363636363636,18.555909090909093,133.39000000000001,77.45454545454545,38.8948672750376,33.09347737512448,41.12431170946829,5.8013898999131195,86.72091583614858,10.668464726614488,1102.5744206234203,2009-02-25,2009-06-04,0.8508443322639541,355.4381204276491,Mercedes,2009
1,23.451176470588237,32.827058823529406,28.139117647058825,19.24,60.811764705882354,24.502497759790998,17.313340458944815,5.344690232866682,7.189157300846182,3.1281915304107244,12.19478863022261,1996.6378743604007,2009-03-05,2009-06-12,0.7065949205944341,7364.578633247431,Mercedes,2009
2,22.124642857142856,32.910357142857144,27.517500000000002,34.68,58.535357142857144,95.97979318198286,34.94567226266325,5.079017970203429,61.0341209193196,0.0,11.650030053703919,2845.2718677861862,2009-03-05,2009-06-12,0.36409405671883843,339.80964928218816,Mercedes,2009
3,18.086060606060606,28.323939393939394,23.205,87.37,66.57272727272728,116.85882473019541,47.95731763897556,28.167567657048075,68.90150709121986,16.3241326741798,10.987071489800762,2522.199886999183,2009-03-05,2009-06-12,0.41038678721696714,239.63151975821486,Mercedes,2009
4,13.663181818181817,20.972272727272728,17.31772727272727,117.15,81.39318181818182,31.514293425164784,27.297538677234375,43.31633906414536,4.216754747930411,74.70368991566835,10.581686953585065,979.7175098012937,2009-03-05,2009-06-12,0.8661954849806899,233.21876390129722,Mercedes,2009
1,23.06,33.41470588235294,28.23735294117647,11.87,57.75058823529412,24.323659428407314,9.436016942304292,6.764757919242831,14.887642486103022,0.0,11.951210096578128,1878.921714275296,2009-03-15,2009-06-22,0.38793574503366385,5644.170821533796,Mercedes,2009
2,20.60607142857143,31.818214285714284,26.212142857142858,35.15,59.651785714285715,85.1127510385164,34.488494193711006,7.426263725531825,50.62425684480538,0.0,11.416441967113466,2600.5256364402258,2009-03-15,2009-06-22,0.4052094870967547,608.5219347533686,Mercedes,2009
3,17.543030303030303,26.42969696969697,21.986363636363635,173.26000000000002,73.72696969696969,94.19559840247301,53.861395730034,45.32,40.33420267243902,81.50486799549783,10.813087171288249,2306.0481879378335,2009-03-15,2009-06-22,0.5718037428872039,478.23852733715376,Mercedes,2009
4,10.587727272727273,19.30409090909091,14.94590909090909,32.21,80.30363636363637,31.043372694706008,28.28296731535832,39.40153649397868,2.760405379347688,9.845496190662999,10.51397251600982,688.5019694466292,2009-03-15,2009-06-22,0.9110790761527524,469.7334450031204,Mercedes,2009
1,23.218235294117648,33.20882352941176,28.213529411764707,33.019999999999996,60.07235294117647,23.340973116927014,16.413877015950085,11.424404343398855,6.927096100976929,9.747611385701795,11.708563942537806,1790.8290200221759,2009-03-25,2009-07-02,0.7032216237825425,6047.533814431052,Mercedes,2009
2,19.086071428571426,30.282857142857143,24.684464285714284,41.57,60.28214285714286,72.10223908680032,24.6665416942538,28.327862649145054,47.43569739254652,0.0,11.19543545185111,2370.1206740253647,2009-03-25,2009-07-02,0.3421050720014253,79.57107930995848,Mercedes,2009
3,15.002424242424242,23.28636363636364,19.14439393939394,163.66,78.16454545454545,76.78018023872747,61.35537033119628,45.32,15.42480990753119,85.31249231794878,10.672488174940948,1786.2546099838662,2009-03-25,2009-07-02,0.7991042758746872,71.57833451125508,Mercedes,2009
4,12.07818181818182,20.045909090909092,16.062045454545455,103.62,85.22363636363637,29.05528104661636,27.555336088654986,45.32,1.4999449579613762,76.06466391134502,10.49516704424222,914.9444570729161,2009-03-25,2009-07-02,0.9483761676386864,70.83930492295286,Mercedes,2009
1,24.598823529411764,30.308235294117647,27.453529411764706,117.21000000000001,80.79117647058824,21.604447756696448,18.099884474738758,17.086508741020186,3.5045632819576897,86.20073294475516,12.840299303190928,2267.1026319758284,2010-02-05,2010-05-15,0.8377851023351697,9422.610546116815,Mercedes,2010
2,22.978571428571428,30.504285714285714,26.74142857142857,101.25,73.78357142857143,97.76614561981187,65.7228792631755,37.8919286255007,32.04326635663637,14.721700852343993,12.32613620834709,3240.14168461353,2010-02-05,2010-05-15,0.6722457845352251,4790.160055357869,Mercedes,2010
3,20.785757575757575,28.60333333333333,24.69454545454545,173.42000000000002,76.21121212121211,138.18967487376258,75.09830241874165,45.32,63.09137245502093,90.89362620675905,11.591818395983525,3148.568669044832,2010-02-05,2010-05-15,0.5434436580543703,3696.671079253738,Mercedes,2010
4,16.105,23.046363636363637,19.57568181818182,68.57,83.15954545454545,40.54841781948603,37.37408979143875,35.38184701952158,3.174328028047281,41.13406318903967,10.990043940231274,1420.6163413222812,2010-02-05,2010-05-15,0.9217151198801692,3638.792388797373,Mercedes,2010
1,23.09058823529412,28.77294117647059,25.931764705882355,108.35,82.55470588235295,19.753484282028168,18.532123525287922,14.3480384519982,1.2213607567402456,82.01606024493611,12.620384297623426,2103.604325879431,2010-02-15,2010-05-25,0.9381698570590177,9045.903173351482,Mercedes,2010
2,23.49642857142857,30.712142857142858,27.104285714285712,167.26,74.96142857142857,85.39584813523042,64.4292958996791,26.52104270307196,20.966552235551323,90.65769984924714,12.085025315648931,3202.381427497763,2010-02-15,2010-05-25,0.7544780841997226,5714.451957453885,Mercedes,2010
3,18.946363636363635,27.356060606060606,23.151212121212122,125.24,76.65181818181817,124.5935524780186,61.16577873763387,34.112957077198764,63.42777374038473,56.48230688823932,11.361549622325612,2736.916676200772,2010-02-15,2010-05-25,0.4909225037822486,4259.90251007526,Mercedes,2010
4,14.527727272727274,21.118636363636366,17.82318181818182,113.14,84.68181818181819,35.924517940635624,30.73982977019209,44.771415559184646,5.18468817044353,71.74171174782202,10.812700910055735,1232.3980044357647,2010-02-15,2010-05-25,0.8556782813617402,4136.94321977816,Mercedes,2010
1,22.370588235294118,30.16411764705882,26.267352941176473,25.18,71.50529411764707,24.07010934092985,14.237631937249846,7.737838452398821,9.832477403680004,9.750751832573556,12.38717478577157,1905.9237799208736,2010-02-25,2010-06-04,0.5915067412277836,7086.082865266272,Mercedes,2010
2,22.06357142857143,28.940714285714286,25.502142857142854,164.91,77.375,77.88367343352365,52.14872093346265,11.155092011930932,25.73495250006101,109.34402550700524,11.842249408790394,2940.2213905843964,2010-02-25,2010-06-04,0.6695719222588203,3573.921755439305,Mercedes,2010
3,17.651818181818182,25.7130303030303,21.682424242424243,134.09,78.92242424242424,105.57480379765441,59.64241807086544,29.417743534699696,45.93238572678897,56.184930406365794,11.145452800806318,2451.07099896123,2010-02-25,2010-06-04,0.5649304182954165,2796.46943384736,Mercedes,2010
