municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico,pct_anos_cobre_custo,margem_media_rs_ha_operacional_conab,risco_economico,margem_media_rs_ha_100pct,margem_media_rs_ha_rateio50,margem_media_rs_ha_rateio_proporcional,score_clima,score_economico,score_combinado
Diamante D'Oeste,25/03/,0.7122999577748649,0.1239961966175386,27,0.7777777777777778,0.7407407407407407,0.1111111111111111,1.0,0.0,0.4444444444444444,Inapto (risco > 40%),42.3,-24.11805541939984,Menos viável,-953.7102373506696,-52.61313198943932,114.25670233671444,3,2,5
Diamante do Sul,05/02/,0.7865006425967768,0.0986608237318847,27,0.3333333333333333,0.1481481481481481,0.2222222222222222,0.5925925925925926,0.037037037037037,0.2962962962962963,Risco climático 40%,50.0,93.77873667979968,Mais viável,-835.8134452514701,65.28366010976015,232.15349443591387,2,0,2
Diamante do Sul,05/03/,0.7519850485996757,0.1062485579578874,27,0.2962962962962963,0.1851851851851851,0.1111111111111111,1.0,0.037037037037037,0.6296296296296297,Risco climático 30%,50.0,98.36201512290185,Mais viável,-831.2301668083676,69.86693855286238,236.73677287901617,1,0,1
Diamante do Sul,15/02/,0.7733917255924263,0.0906534499789454,27,0.2592592592592592,0.0,0.2592592592592592,0.8518518518518519,0.037037037037037,0.3333333333333333,Risco climático 30%,50.0,104.33943509108619,Mais viável,-825.2527468401834,75.84435852104664,242.71419284720048,1,0,1
Diamante do Sul,15/03/,0.7553618902848377,0.1046329687328264,27,0.3703703703703703,0.2592592592592592,0.1111111111111111,1.0,0.074074074074074,0.5925925925925926,Risco climático 40%,50.0,88.64601258938828,Mais viável,-840.9461693418815,60.150936019348784,227.02077034550243,2,0,2
Diamante do Sul,25/02/,0.7518248356174089,0.09822140529464,27,0.3333333333333333,0.1481481481481481,0.1851851851851851,0.9629629629629628,0.037037037037037,0.4074074074074074,Risco climático 40%,50.0,99.88103950332506,Mais viável,-829.7111424279445,71.38596293328554,238.25579725943933,2,0,2
Diamante do Sul,25/03/,0.7505724164063592,0.1194022968498987,27,0.4444444444444444,0.3703703703703703,0.1111111111111111,1.0,0.1851851851851851,0.5925925925925926,Inapto (risco > 40%),50.0,81.1764650422135,Mais viável,-848.4157168890562,52.68138847217392,219.5512227983277,3,0,3
Entre Rios do Oeste,05/02/,0.670608836434018,0.1352887915620564,27,0.5555555555555556,0.2592592592592592,0.4814814814814814,0.1481481481481481,0.0,0.1481481481481481,Inapto (risco > 40%),46.2,-46.22677735507552,Menos viável,-975.8189592863451,-74.72185392511506,92.14798040103872,3,2,5
Entre Rios do Oeste,05/03/,0.6647078922010426,0.1205975342705338,27,0.5185185185185185,0.4814814814814814,0.2222222222222222,0.925925925925926,0.0,0.3703703703703703,Inapto (risco > 40%),50.0,-12.405287231728003,Menos viável,-941.9974691629976,-40.900363801767575,125.96947052438624,3,2,5
Entre Rios do Oeste,15/02/,0.6742949522972731,0.1187660251113539,27,0.3333333333333333,0.074074074074074,0.2962962962962963,0.4814814814814814,0.0,0.2222222222222222,Risco climático 40%,46.2,-39.191414658035754,Menos viável,-968.7835965893051,-67.68649122807531,99.18334309807852,2,2,4
Entre Rios do Oeste,15/03/,0.6757579894738112,0.1185876518580209,27,0.7037037037037037,0.5925925925925926,0.1481481481481481,1.0,0.0,0.2592592592592592,Inapto (risco > 40%),42.3,-52.400984457603386,Menos viável,-981.993166388873,-80.89606102764296,85.9737732985108,3,2,5
Entre Rios do Oeste,25/02/,0.6600834183685463,0.1202734418910496,27,0.4444444444444444,0.2592592592592592,0.2592592592592592,0.7777777777777778,0.0,0.2962962962962963,Inapto (risco > 40%),46.2,-3.623083037550067,Menos viável,-933.2152649688198,-32.11815960758958,134.75167471856415,3,2,5
Entre Rios do Oeste,25/03/,0.6836398239872663,0.1242487011671187,27,0.7407407407407407,0.6666666666666666,0.1481481481481481,1.0,0.0,0.3703703703703703,Inapto (risco > 40%),42.3,-25.615655521828103,Menos viável,-955.2078374530976,-54.11073209186758,112.7591022342862,3,2,5
Formosa do Oeste,05/02/,0.7349893275277244,0.1174309023281426,27,0.4814814814814814,0.1851851851851851,0.4074074074074074,0.4074074074074074,0.0,0.1481481481481481,Inapto (risco > 40%),50.0,43.874720410986725,Viabilidade intermediária,-885.7174615202829,15.37964384094721,182.249478167101,3,1,4
Formosa do Oeste,05/03/,0.6966582932730057,0.1105926960973666,27,0.4444444444444444,0.2592592592592592,0.2222222222222222,1.0,0.0,0.4074074074074074,Inapto (risco > 40%),50.0,48.61720902490856,Viabilidade intermediária,-880.9749729063612,20.12213245486905,186.9919667810228,3,1,4
Formosa do Oeste,15/02/,0.7205828513635459,0.1027630829809282,27,0.2962962962962963,0.074074074074074,0.2592592592592592,0.7407407407407407,0.0,0.1851851851851851,Risco climático 30%,50.0,28.529201200412654,Viabilidade intermediária,-901.062980730857,0.0341246303731238,166.90395895652694,1,1,2
Formosa do Oeste,15/03/,0.7023875524916547,0.1083266847469085,27,0.4814814814814814,0.2962962962962963,0.2592592592592592,1.0,0.037037037037037,0.4814814814814814,Inapto (risco > 40%),50.0,44.47169921968559,Viabilidade intermediária,-885.1204827115839,15.97662264964606,182.8464569757998,3,1,4
Formosa do Oeste,25/02/,0.6963297178385169,0.1085598912305776,27,0.4074074074074074,0.1481481481481481,0.2962962962962963,0.925925925925926,0.0,0.3333333333333333,Inapto (risco > 40%),50.0,45.70140942113783,Viabilidade intermediária,-883.890772510132,17.20633285109826,184.07616717725216,3,1,4
