sercodigo,ano,mes,valor
DERAL12_PRMI12,2017,9,19.3008
DERAL12_PRMI12,2017,10,20.9128
DERAL12_PRMI12,2017,11,22.1412
DERAL12_PRMI12,2017,12,22.9503
DERAL12_PRMI12,2018,1,22.99
DERAL12_PRMI12,2018,2,23.5847
DERAL12_PRMI12,2018,3,29.7189
DERAL12_PRMI12,2018,4,30.5836
DERAL12_PRMI12,2018,5,32.0105
DERAL12_PRMI12,2018,6,31.6149
DERAL12_PRMI12,2018,7,29.685
DERAL12_PRMI12,2018,8,31.7749
DERAL12_PRMI12,2018,9,31.9221
DERAL12_PRMI12,2018,10,28.7073
DERAL12_PRMI12,2018,11,27.1992
DERAL12_PRMI12,2018,12,27.8799
DERAL12_PRMI12,2019,1,29.1901
DERAL12_PRMI12,2019,2,30.3541
DERAL12_PRMI12,2019,3,29.6391
DERAL12_PRMI12,2019,4,26.8921
DERAL12_PRMI12,2019,5,25.9602
DERAL12_PRMI12,2019,6,29.1601
DERAL12_PRMI12,2019,7,28.5994
DERAL12_PRMI12,2019,8,27.8135
DERAL12_PRMI12,2019,9,28.0948
DERAL12_PRMI12,2019,10,31.4132
DERAL12_PRMI12,2019,11,33.4804
DERAL12_PRMI12,2019,12,36.3218
DERAL12_PRMI12,2020,1,39.1866
DERAL12_PRMI12,2020,2,39.5382
DERAL12_PRMI12,2020,3,42.2718
DERAL12_PRMI12,2020,4,39.9792
DERAL12_PRMI12,2020,5,40.2101
DERAL12_PRMI12,2020,6,38.187
DERAL12_PRMI12,2020,7,41.1697
DERAL12_PRMI12,2020,8,45.5521
DERAL12_PRMI12,2020,9,50.3306
DERAL12_PRMI12,2020,10,59.8149
DERAL12_PRMI12,2020,11,67.5845
DERAL12_PRMI12,2020,12,63.5883
DERAL12_PRMI12,2021,1,72.5424
DERAL12_PRMI12,2021,2,72.3895
DERAL12_PRMI12,2021,3,77.8419
DERAL12_PRMI12,2021,4,90.1271
DERAL12_PRMI12,2021,5,91.3768
DERAL12_PRMI12,2021,6,78.8209
DERAL12_PRMI12,2021,7,88.3448
DERAL12_PRMI12,2021,8,93.6403
DERAL12_PRMI12,2021,9,85.6552
DERAL12_PRMI12,2021,10,82.8536
DERAL12_PRMI12,2021,11,77.131
DERAL12_PRMI12,2021,12,79.8932
DERAL12_PRMI12,2022,1,88.3476
DERAL12_PRMI12,2022,2,90.9526
DERAL12_PRMI12,2022,3,90.6745
DERAL12_PRMI12,2022,4,78.0499
DERAL12_PRMI12,2022,5,80.3615
DERAL12_PRMI12,2022,6,79.3068
DERAL12_PRMI12,2022,7,73.8853
DERAL12_PRMI12,2022,8,75.3327
DERAL12_PRMI12,2022,9,75.5551
DERAL12_PRMI12,2022,10,76.0628
DERAL12_PRMI12,2022,11,75.9037
DERAL12_PRMI12,2022,12,73.9468
DERAL12_PRMI12,2023,1,76.7995
DERAL12_PRMI12,2023,2,75.2642
DERAL12_PRMI12,2023,3,72.9219
DERAL12_PRMI12,2023,4,61.7596
DERAL12_PRMI12,2023,5,48.2037
DERAL12_PRMI12,2023,6,46.8301
DERAL12_PRMI12,2023,7,215.0561
DERAL12_PRMI12,2023,8,44.5059
DERAL12_PRMI12,2023,9,43.0994
DERAL12_PRMI12,2023,10,44.0213
DERAL12_PRMI12,2023,11,45.4383
DERAL12_PRMI12,2023,12,50.0515
DERAL12_PRMI12,2024,1,49.2624
DERAL12_PRMI12,2024,2,48.4372
DERAL12_PRMI12,2024,3,46.9648
DERAL12_PRMI12,2024,4,48.4574
DERAL12_PRMI12,2024,5,49.9208
DERAL12_PRMI12,2024,6,49.3802
DERAL12_PRMI12,2024,7,48.7261
DERAL12_PRMI12,2024,8,49.8044
DERAL12_PRMI12,2024,9,51.2241
DERAL12_PRMI12,2024,10,56.9327
DERAL12_PRMI12,2024,11,60.2382
DERAL12_PRMI12,2024,12,60.7523
DERAL12_PRMI12,2025,1,61.195
DERAL12_PRMI12,2025,2,63.5136
DERAL12_PRMI12,2025,3,68.5667
DERAL12_PRMI12,2025,4,61.8756
DERAL12_PRMI12,2025,5,54.8487
DERAL12_PRMI12,2025,6,52.4373
DERAL12_PRMI12,2025,7,49.9635
DERAL12_PRMI12,2025,8,51.325
DERAL12_PRMI12,2025,9,52.2307
DERAL12_PRMI12,2025,10,52.4186
DERAL12_PRMI12,2025,11,53.4362
DERAL12_PRMI12,2025,12,54.5485
DERAL12_PRMI12,2026,1,54.8342
DERAL12_PRMI12,2026,2,51.1901
DERAL12_PRMI12,2026,3,53.1723
DERAL12_PRMI12,2026,4,53.5
DERAL12_PRMI12,2026,5,53.5571
DERAL12_ATMC12,1990,1,4.1618e-05
DERAL12_ATMC12,1990,2,6.1851e-05
DERAL12_ATMC12,1990,3,9.5553e-05
DERAL12_ATMC12,1990,4,0.000113462
DERAL12_ATMC12,1990,5,0.000145829
DERAL12_ATMC12,1990,6,0.000179062
DERAL12_ATMC12,1990,7,0.000188993
DERAL12_ATMC12,1990,8,0.000241665
DERAL12_ATMC12,1990,9,0.000261891
DERAL12_ATMC12,1990,10,0.000291691
DERAL12_ATMC12,1990,11,0.0004242
DERAL12_ATMC12,1990,12,0.000476778
DERAL12_ATMC12,1991,1,0.000501367
DERAL12_ATMC12,1991,2,0.000536731
DERAL12_ATMC12,1991,3,0.000566164
DERAL12_ATMC12,1991,4,0.000680073
DERAL12_ATMC12,1991,5,0.000741382
DERAL12_ATMC12,1991,6,0.000738982
DERAL12_ATMC12,1991,7,0.000824509
DERAL12_ATMC12,1991,8,0.001032873
DERAL12_ATMC12,1991,9,0.001167927
DERAL12_ATMC12,1991,10,0.001726255
DERAL12_ATMC12,1991,11,0.002134691
DERAL12_ATMC12,1991,12,0.002275636
DERAL12_ATMC12,1992,1,0.003181745
DERAL12_ATMC12,1992,2,0.003527127
DERAL12_ATMC12,1992,3,0.003392073
DERAL12_ATMC12,1992,4,0.004081964
DERAL12_ATMC12,1992,5,0.005272364
DERAL12_ATMC12,1992,6,0.006807055
DERAL12_ATMC12,1992,7,0.0080904
DERAL12_ATMC12,1992,8,0.010616727
DERAL12_ATMC12,1992,9,0.015269891
DERAL12_ATMC12,1992,10,0.019376509
DERAL12_ATMC12,1992,11,0.024313964
DERAL12_ATMC12,1992,12,0.031604073
DERAL12_ATMC12,1993,1,0.0377064
DERAL12_ATMC12,1993,2,0.042486545
DERAL12_ATMC12,1993,3,0.048809455
DERAL12_ATMC12,1993,4,0.065144945
DERAL12_ATMC12,1993,5,0.083805164
DERAL12_ATMC12,1993,6,0.111092727
DERAL12_ATMC12,1993,7,0.155604436
DERAL12_ATMC12,1993,8,0.226690909
DERAL12_ATMC12,1993,9,0.301090909
DERAL12_ATMC12,1993,10,0.420218182
DERAL12_ATMC12,1993,11,0.583636364
DERAL12_ATMC12,1993,12,0.833236364
DERAL12_ATMC12,1994,1,1.055781818
DERAL12_ATMC12,1994,2,1.274618182
DERAL12_ATMC12,1994,3,1.696145455
DERAL12_ATMC12,1994,4,2.461309091
DERAL12_ATMC12,1994,5,3.588654545
DERAL12_ATMC12,1994,6,5.3064
DERAL12_ATMC12,1994,7,6.75
DERAL12_ATMC12,1994,8,6.68
DERAL12_ATMC12,1994,9,6.67
DERAL12_ATMC12,1994,10,7.2
DERAL12_ATMC12,1994,11,7.71
DERAL12_ATMC12,1994,12,7.72
DERAL12_ATMC12,1995,1,7.5
DERAL12_ATMC12,1995,2,7.07
DERAL12_ATMC12,1995,3,6.39
DERAL12_ATMC12,1995,4,5.79
DERAL12_ATMC12,1995,5,5.77
DERAL12_ATMC12,1995,6,6.1
DERAL12_ATMC12,1995,7,6.68
DERAL12_ATMC12,1995,8,6.93
DERAL12_ATMC12,1995,9,6.36
DERAL12_ATMC12,1995,10,7.03
DERAL12_ATMC12,1995,11,7.41
DERAL12_ATMC12,1995,12,7.49
DERAL12_ATMC12,1996,1,7.73
DERAL12_ATMC12,1996,2,7.32
DERAL12_ATMC12,1996,3,7.38
DERAL12_ATMC12,1996,4,8.33
DERAL12_ATMC12,1996,5,9.19
DERAL12_ATMC12,1996,6,9.0
DERAL12_ATMC12,1996,7,8.88
DERAL12_ATMC12,1996,8,9.05
DERAL12_ATMC12,1996,9,9.04
DERAL12_ATMC12,1996,10,8.8
DERAL12_ATMC12,1996,11,8.33
DERAL12_ATMC12,1996,12,7.79
DERAL12_ATMC12,1997,1,7.34
DERAL12_ATMC12,1997,2,7.02
DERAL12_ATMC12,1997,3,6.9
DERAL12_ATMC12,1997,4,7.08
DERAL12_ATMC12,1997,5,7.27
DERAL12_ATMC12,1997,6,7.16
DERAL12_ATMC12,1997,7,7.15
DERAL12_ATMC12,1997,8,7.13
DERAL12_ATMC12,1997,9,7.12
DERAL12_ATMC12,1997,10,7.58
DERAL12_ATMC12,1997,11,7.68
DERAL12_ATMC12,1997,12,7.93
DERAL12_ATMC12,1998,1,8.25
DERAL12_ATMC12,1998,2,8.15
DERAL12_ATMC12,1998,3,7.91
DERAL12_ATMC12,1998,4,8.11
DERAL12_ATMC12,1998,5,8.48
DERAL12_ATMC12,1998,6,8.25
DERAL12_ATMC12,1998,7,8.11
DERAL12_ATMC12,1998,8,7.99
DERAL12_ATMC12,1998,9,8.03
DERAL12_ATMC12,1998,10,8.09
DERAL12_ATMC12,1998,11,8.23
DERAL12_ATMC12,1998,12,8.9
DERAL12_ATMC12,1999,1,9.22
DERAL12_ATMC12,1999,2,9.4
DERAL12_ATMC12,1999,3,9.38
DERAL12_ATMC12,1999,4,9.28
DERAL12_ATMC12,1999,5,9.29
DERAL12_ATMC12,1999,6,9.2
DERAL12_ATMC12,1999,7,9.09
DERAL12_ATMC12,1999,8,9.11
DERAL12_ATMC12,1999,9,9.67
DERAL12_ATMC12,1999,10,11.13
DERAL12_ATMC12,1999,11,13.31
DERAL12_ATMC12,1999,12,13.6
DERAL12_ATMC12,2000,1,13.74
DERAL12_ATMC12,2000,2,12.98
DERAL12_ATMC12,2000,3,12.08
DERAL12_ATMC12,2000,4,11.78
DERAL12_ATMC12,2000,5,12.29
DERAL12_ATMC12,2000,6,11.89
DERAL12_ATMC12,2000,7,12.11
DERAL12_ATMC12,2000,8,13.4
DERAL12_ATMC12,2000,9,13.05
DERAL12_ATMC12,2000,10,12.79
DERAL12_ATMC12,2000,11,11.98
DERAL12_ATMC12,2000,12,10.3
DERAL12_ATMC12,2001,1,9.19
DERAL12_ATMC12,2001,2,8.39
DERAL12_ATMC12,2001,3,8.0
DERAL12_ATMC12,2001,4,8.06
DERAL12_ATMC12,2001,5,8.29
DERAL12_ATMC12,2001,6,8.96
DERAL12_ATMC12,2001,7,9.8
DERAL12_ATMC12,2001,8,10.69
DERAL12_ATMC12,2001,9,11.14
DERAL12_ATMC12,2001,10,11.32
DERAL12_ATMC12,2001,11,11.63
DERAL12_ATMC12,2001,12,11.78
DERAL12_ATMC12,2002,1,11.87
DERAL12_ATMC12,2002,2,12.2
DERAL12_ATMC12,2002,3,12.47
DERAL12_ATMC12,2002,4,12.9
DERAL12_ATMC12,2002,5,14.06
DERAL12_ATMC12,2002,6,14.48
DERAL12_ATMC12,2002,7,14.78
DERAL12_ATMC12,2002,8,15.79
DERAL12_ATMC12,2002,9,17.33
DERAL12_ATMC12,2002,10,21.23
DERAL12_ATMC12,2002,11,25.58
DERAL12_ATMC12,2002,12,24.37
DERAL12_ATMC12,2003,1,22.93
DERAL12_ATMC12,2003,2,22.34
DERAL12_ATMC12,2003,3,19.77
DERAL12_ATMC12,2003,4,19.0
DERAL12_ATMC12,2003,5,17.81
DERAL12_ATMC12,2003,6,16.39
DERAL12_ATMC12,2003,7,14.81
DERAL12_ATMC12,2003,8,15.07
DERAL12_ATMC12,2003,9,16.86
DERAL12_ATMC12,2003,10,16.47
DERAL12_ATMC12,2003,11,17.2654
DERAL12_ATMC12,2003,12,17.7258
DERAL12_ATMC12,2004,1,17.3393
DERAL12_ATMC12,2004,2,17.0049
DERAL12_ATMC12,2004,3,17.7028
DERAL12_ATMC12,2004,4,20.8984
DERAL12_ATMC12,2004,5,21.7698
DERAL12_ATMC12,2004,6,20.1296
DERAL12_ATMC12,2004,7,18.4638
DERAL12_ATMC12,2004,8,17.269
DERAL12_ATMC12,2004,9,17.3846
DERAL12_ATMC12,2004,10,16.4612
DERAL12_ATMC12,2004,11,15.8273
DERAL12_ATMC12,2004,12,14.9971
DERAL12_ATMC12,2005,1,15.5435
DERAL12_ATMC12,2005,2,15.597
DERAL12_ATMC12,2005,3,18.0744
DERAL12_ATMC12,2005,4,19.1855
DERAL12_ATMC12,2005,5,18.9549
DERAL12_ATMC12,2005,6,18.8366
DERAL12_ATMC12,2005,7,18.5749
DERAL12_ATMC12,2005,8,17.4509
DERAL12_ATMC12,2005,9,17.0523
DERAL12_ATMC12,2005,10,15.9859
DERAL12_ATMC12,2005,11,14.6494
DERAL12_ATMC12,2005,12,14.2588
DERAL12_ATMC12,2006,1,14.4495
DERAL12_ATMC12,2006,2,14.9279
DERAL12_ATMC12,2006,3,13.1919
DERAL12_ATMC12,2006,4,12.8491
DERAL12_ATMC12,2006,5,14.1841
DERAL12_ATMC12,2006,6,14.983
DERAL12_ATMC12,2006,7,14.3595
DERAL12_ATMC12,2006,8,14.0231
DERAL12_ATMC12,2006,9,14.3109
DERAL12_ATMC12,2006,10,15.9355
DERAL12_ATMC12,2006,11,18.4832
